occurrence_date,offense,borough,precinct,latitude,longitude,sector,jurisdiction,compstat_date,object_id,identifier,xcoord,ycoord
2010-01-01T00:01:00,GRAND LARCENY,QUEENS,110,40.746249764,-73.883525955,A,N.Y. POLICE DEPT,2013-02-12:00:00 AMow,566541,f62a8c49,1016524,211174
2010-01-01T00:01:00,RAPE,QUEENS,110,40.7452527410001,-73.87006287,D,N.Y. POLICE DEPT,2010-08-12:00:00 AMow,566542,32da86f7,1020255,210816
2010-01-01T00:01:00,RAPE,QUEENS,115,40.756860977,-73.875656664,I,N.Y. POLICE DEPT,2011-03-12:00:00 AMow,566543,f45621be,1018699,215043
2010-01-01T00:01:00,GRAND LARCENY,MANHATTAN,18,40.7647199690001,-73.989915229,J,N.Y. POLICE DEPT,2010-05-12:00:00 AMow,566544,55fbd5eb,987044,217882
2010-01-01T00:01:00,GRAND LARCENY,BRONX,40,40.8024840910001,-73.9078844639999,B,N.Y. POLICE DEPT,2010-03-12:00:00 AMow,566545,8b0c2087,1009753,231654
2010-01-01T00:01:00,GRAND LARCENY,BRONX,43,40.816090247,-73.861734468,A,N.Y. POLICE DEPT,2012-01-12:00:00 AMow,566546,7f9c404a,1022522,236628
2010-01-01T00:01:00,RAPE,BRONX,43,40.823101299,-73.8696904609999,B,N.Y. HOUSING POLICE,2014-03-12:00:00 AMow,566547,1958c52d,1020316,239179
2010-01-01T00:01:00,RAPE,BRONX,40,40.8103960190001,-73.9253107449999,G,N.Y. HOUSING POLICE,2015-11-12:00:00 AMow,566548,7fd27b86,1004926,234532
2010-01-01T00:01:00,RAPE,BRONX,43,40.823101299,-73.8696904609999,F,N.Y. HOUSING POLICE,2010-01-12:00:00 AMow,566549,beb4c49c,1020316,239179
2010-01-01T00:01:00,GRAND LARCENY,MANHATTAN,30,40.825817778,-73.9489748249999,D,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,566550,17540d05,998372,240146
2010-01-01T00:01:00,GRAND LARCENY,BRONX,44,40.826284877,-73.9207076339999,G,N.Y. POLICE DEPT,2014-07-12:00:00 AMow,566855,d46658e7,1006195,240322
2010-01-01T00:01:00,GRAND LARCENY,BRONX,43,40.8316777470001,-73.8446675879999,G,POLICE DEPT NYC,2011-03-12:00:00 AMow,566856,5cdd5254,1027236,242315
2010-01-01T00:01:00,GRAND LARCENY,BRONX,43,40.834450114,-73.86677001,I,N.Y. POLICE DEPT,2011-02-12:00:00 AMow,566857,d25255b7,1021118,243315
